rank 64, epoch 1, step 300 / 1362, train loss 63.92, time 2m 55s
rank 23, epoch 1, step 400 / 1362, train loss 78.84, time 2m 54s
rank 75, epoch 1, step 300 / 1362, train loss 68.96, time 2m 57s
rank 67, epoch 1, step 300 / 1362, train loss 66.66, time 2m 56s
rank 79, epoch 1, step 300 / 1362, train loss 83.40, time 2m 57s
rank 0, epoch 1, step 300 / 1362, train loss 76.71, time 2m 57s
rank 83, epoch 1, step 300 / 1362, train loss 71.20, time 2m 57s
rank 12, epoch 1, step 300 / 1362, train loss 41.61, time 2m 58s
rank 72, epoch 1, step 300 / 1362, train loss 85.94, time 2m 59s
rank 47, epoch 1, step 300 / 1362, train loss 81.18, time 3m 0s
rank 40, epoch 1, step 300 / 1362, train loss 54.49, time 2m 60s
rank 95, epoch 1, step 300 / 1362, train loss 52.71, time 3m 1s
rank 10, epoch 1, step 300 / 1362, train loss 82.34, time 2m 60s
rank 20, epoch 1, step 300 / 1362, train loss 37.28, time 3m 0s
rank 78, epoch 1, step 300 / 1362, train loss 56.18, time 3m 1s
rank 24, epoch 1, step 300 / 1362, train loss 72.30, time 3m 0s
rank 94, epoch 1, step 300 / 1362, train loss 50.29, time 3m 1s
rank 31, epoch 1, step 300 / 1362, train loss 67.59, time 3m 1s
rank 51, epoch 1, step 300 / 1362, train loss 65.86, time 3m 1s
rank 62, epoch 1, step 300 / 1362, train loss 76.09, time 3m 1s
rank 43, epoch 1, step 300 / 1362, train loss 61.18, time 3m 2s
rank 37, epoch 1, step 300 / 1362, train loss 78.36, time 3m 2s
rank 48, epoch 1, step 300 / 1362, train loss 56.04, time 3m 2s
rank 1, epoch 1, step 400 / 1362, train loss 67.20, time 3m 2s
rank 30, epoch 1, step 300 / 1362, train loss 60.23, time 3m 2s
rank 29, epoch 1, step 300 / 1362, train loss 71.57, time 3m 3s
rank 42, epoch 1, step 300 / 1362, train loss 57.44, time 3m 3s
rank 92, epoch 1, step 300 / 1362, train loss 64.50, time 3m 2s
rank 60, epoch 1, step 300 / 1362, train loss 69.40, time 3m 2s
rank 4, epoch 1, step 300 / 1362, train loss 46.29, time 3m 2s
rank 9, epoch 1, step 300 / 1362, train loss 65.50, time 3m 3s
rank 93, epoch 1, step 300 / 1362, train loss 59.43, time 3m 4s
rank 14, epoch 1, step 300 / 1362, train loss 79.22, time 3m 3s
rank 91, epoch 1, step 300 / 1362, train loss 61.81, time 3m 4s
rank 25, epoch 1, step 300 / 1362, train loss 35.21, time 3m 4s
