rank 9, epoch 1, step 3000 / 14900, train loss 118.79, time 29m 32s
rank 6, epoch 1, step 3000 / 14900, train loss 83.12, time 29m 35s
rank 84, epoch 1, step 3000 / 14900, train loss 84.61, time 29m 36s
rank 49, epoch 1, step 3000 / 14900, train loss 80.36, time 29m 38s
rank 60, epoch 1, step 3000 / 14900, train loss 106.56, time 29m 37s
rank 14, epoch 1, step 3000 / 14900, train loss 69.73, time 29m 38s
rank 43, epoch 1, step 3000 / 14900, train loss 78.11, time 29m 42s
rank 55, epoch 1, step 3000 / 14900, train loss 165.35, time 29m 42s
rank 33, epoch 1, step 3000 / 14900, train loss 70.60, time 29m 44s
rank 15, epoch 1, step 3000 / 14900, train loss 58.08, time 29m 44s
rank 90, epoch 1, step 3000 / 14900, train loss 77.34, time 29m 46s
rank 16, epoch 1, step 3000 / 14900, train loss 61.73, time 29m 46s
rank 34, epoch 1, step 3000 / 14900, train loss 86.62, time 29m 46s
rank 51, epoch 1, step 3000 / 14900, train loss 93.54, time 29m 48s
rank 75, epoch 1, step 3000 / 14900, train loss 84.29, time 29m 49s
rank 66, epoch 1, step 3000 / 14900, train loss 135.69, time 29m 50s
rank 94, epoch 1, step 3000 / 14900, train loss 44.85, time 29m 47s
rank 11, epoch 1, step 3000 / 14900, train loss 120.07, time 29m 48s
rank 21, epoch 1, step 3000 / 14900, train loss 92.96, time 29m 56s
rank 68, epoch 1, step 3000 / 14900, train loss 349.56, time 29m 57s
rank 53, epoch 1, step 3000 / 14900, train loss 170.29, time 29m 56s
rank 57, epoch 1, step 3000 / 14900, train loss 87.02, time 29m 60s
rank 54, epoch 1, step 2000 / 14900, train loss 108.60, time 30m 2s
rank 67, epoch 1, step 2000 / 14900, train loss 82.57, time 29m 60s
rank 50, epoch 1, step 3000 / 14900, train loss 82.10, time 30m 5s
rank 78, epoch 1, step 2000 / 14900, train loss 124.03, time 30m 2s
rank 74, epoch 1, step 2000 / 14900, train loss 86.90, time 30m 4s
rank 76, epoch 1, step 3000 / 14900, train loss 52.39, time 30m 3s
rank 0, epoch 1, step 3000 / 14900, train loss 65.04, time 30m 9s
rank 31, epoch 1, step 3000 / 14900, train loss 101.15, time 30m 10s
rank 38, epoch 1, step 3000 / 14900, train loss 122.93, time 30m 12s
rank 86, epoch 1, step 2000 / 14900, train loss 100.01, time 30m 9s
rank 5, epoch 1, step 3000 / 14900, train loss 163.56, time 30m 13s
rank 70, epoch 1, step 3000 / 14900, train loss 55.99, time 30m 12s
rank 81, epoch 1, step 2000 / 14900, train loss 113.62, time 30m 11s
rank 22, epoch 1, step 3000 / 14900, train loss 98.01, time 30m 15s
rank 47, epoch 1, step 3000 / 14900, train loss 84.31, time 30m 17s
rank 41, epoch 1, step 2000 / 14900, train loss 92.24, time 30m 17s
rank 73, epoch 1, step 2000 / 14900, train loss 70.30, time 30m 16s
rank 35, epoch 1, step 3000 / 14900, train loss 75.77, time 30m 21s
rank 12, epoch 1, step 3000 / 14900, train loss 334.48, time 30m 23s
rank 28, epoch 1, step 2000 / 14900, train loss 59.88, time 30m 30s
rank 77, epoch 1, step 2000 / 14900, train loss 102.34, time 30m 32s
rank 59, epoch 1, step 3000 / 14900, train loss 63.65, time 30m 36s
rank 48, epoch 1, step 3000 / 14900, train loss 51.88, time 30m 37s
rank 93, epoch 1, step 3000 / 14900, train loss 85.44, time 30m 39s
rank 79, epoch 1, step 3000 / 14900, train loss 64.65, time 30m 43s
rank 4, epoch 1, step 3000 / 14900, train loss 251.38, time 30m 47s
rank 71, epoch 1, step 2000 / 14900, train loss 135.41, time 30m 47s
rank 10, epoch 1, step 2000 / 14900, train loss 58.68, time 30m 53s
rank 24, epoch 1, step 2000 / 14900, train loss 63.97, time 30m 52s
rank 63, epoch 1, step 2000 / 14900, train loss 47.63, time 30m 57s
rank 91, epoch 1, step 2000 / 14900, train loss 61.65, time 30m 58s
rank 44, epoch 1, step 2000 / 14900, train loss 94.83, time 30m 59s
rank 37, epoch 1, step 2000 / 14900, train loss 84.65, time 31m 2s
rank 19, epoch 1, step 2000 / 14900, train loss 132.96, time 31m 6s
rank 40, epoch 1, step 2000 / 14900, train loss 161.48, time 31m 8s
rank 17, epoch 1, step 2000 / 14900, train loss 92.57, time 31m 10s
rank 20, epoch 1, step 2000 / 14900, train loss 129.24, time 31m 13s
rank 58, epoch 1, step 2000 / 14900, train loss 454.35, time 31m 16s
rank 1, epoch 1, step 2000 / 14900, train loss 87.99, time 31m 17s
rank 45, epoch 1, step 2000 / 14900, train loss 94.01, time 31m 19s
rank 32, epoch 1, step 2000 / 14900, train loss 122.59, time 31m 23s
rank 64, epoch 1, step 3000 / 14900, train loss 95.10, time 31m 25s
rank 8, epoch 1, step 2000 / 14900, train loss 8638.58, time 31m 23s
rank 25, epoch 1, step 2000 / 14900, train loss 57.96, time 31m 25s
rank 26, epoch 1, step 2000 / 14900, train loss 94.71, time 31m 25s
rank 23, epoch 1, step 2000 / 14900, train loss 354.63, time 31m 26s
rank 27, epoch 1, step 2000 / 14900, train loss 85.23, time 31m 34s
rank 52, epoch 1, step 2000 / 14900, train loss 107.37, time 31m 33s
rank 18, epoch 1, step 2000 / 14900, train loss 45.27, time 31m 37s
rank 13, epoch 1, step 2000 / 14900, train loss 65.10, time 31m 39s
rank 88, epoch 1, step 2000 / 14900, train loss 82.54, time 31m 40s
rank 87, epoch 1, step 2000 / 14900, train loss 144.36, time 31m 41s
rank 82, epoch 1, step 2000 / 14900, train loss 63.53, time 31m 39s
rank 36, epoch 1, step 2000 / 14900, train loss 77.56, time 31m 40s
rank 29, epoch 1, step 2000 / 14900, train loss 94.79, time 31m 52s
rank 61, epoch 1, step 2000 / 14900, train loss 89.72, time 31m 50s
rank 80, epoch 1, step 2000 / 14900, train loss 78.92, time 31m 52s
rank 39, epoch 1, step 2000 / 14900, train loss 122.92, time 31m 55s
rank 42, epoch 1, step 2000 / 14900, train loss 249.63, time 32m 17s
rank 89, epoch 1, step 2000 / 14900, train loss 82.11, time 33m 48s
rank 7, epoch 1, step 2000 / 14900, train loss 84.58, time 34m 17s
rank 65, epoch 1, step 2000 / 14900, train loss 84.67, time 34m 32s
rank 72, epoch 1, step 2000 / 14900, train loss 143.88, time 34m 51s
rank 83, epoch 1, step 2000 / 14900, train loss 98.47, time 34m 54s
rank 3, epoch 1, step 2000 / 14900, train loss 104.85, time 34m 55s
rank 30, epoch 1, step 4000 / 14900, train loss 92.86, time 38m 4s
rank 85, epoch 1, step 4000 / 14900, train loss 116.86, time 38m 11s
rank 95, epoch 1, step 4000 / 14900, train loss 64.21, time 38m 32s
rank 46, epoch 1, step 4000 / 14900, train loss 137.20, time 39m 1s
rank 92, epoch 1, step 4000 / 14900, train loss 107.47, time 39m 15s
rank 56, epoch 1, step 4000 / 14900, train loss 75.44, time 39m 20s
rank 69, epoch 1, step 4000 / 14900, train loss 72.97, time 39m 20s
rank 62, epoch 1, step 4000 / 14900, train loss 82.32, time 39m 25s
rank 49, epoch 1, step 4000 / 14900, train loss 83.32, time 39m 28s
rank 9, epoch 1, step 4000 / 14900, train loss 69.14, time 39m 27s
rank 6, epoch 1, step 4000 / 14900, train loss 139.49, time 39m 28s
rank 2, epoch 1, step 4000 / 14900, train loss 75.07, time 39m 28s
rank 43, epoch 1, step 4000 / 14900, train loss 96.12, time 39m 31s
rank 75, epoch 1, step 4000 / 14900, train loss 47.17, time 39m 32s
rank 16, epoch 1, step 4000 / 14900, train loss 67.63, time 39m 33s
